latitute,longitude,sinr,throughput
37.80656576,-122.4137918,19.7,4471.9
37.80662734,-122.4138126,19.6,4880.4
37.80668574,-122.413819,18.5,3737
37.80676434,-122.413846,16.4,4001.6
37.80687684,-122.4138663,19.7,3999.1
37.80693407,-122.4138731,18.9,4120.2
37.80704736,-122.4139024,18.2,3658.2
37.80710179,-122.4139097,18.7,4263.6
37.80717512,-122.4139188,17.9,4296
37.80723232,-122.4139207,16.3,3325.2
37.80729004,-122.4139283,19.1,4698.6
37.80735869,-122.4139348,19,3876
37.80739849,-122.4139552,18.7,4506.7
37.80744313,-122.4139627,18.5,4384.5
37.8074675,-122.4140019,20,4180
37.80746476,-122.4140823,15.7,3642.4
37.80745563,-122.4141174,19,3952
37.80745492,-122.4141794,17.3,4152
37.80745519,-122.4142319,17.8,3631.2
37.80745427,-122.4142965,15.6,3728.4
37.80744982,-122.4143978,17,4046
37.80744327,-122.4144846,15.2,3252.8
37.80743927,-122.4145813,19.8,4494.6
37.80743177,-122.414688,17.9,3794.8
37.80741582,-122.4147105,19.8,4375.8
37.80739777,-122.4147857,20,4360
37.80739012,-122.414906,19.7,4353.7
37.80738013,-122.4149804,15.8,3823.6
37.80737657,-122.4151209,17.2,4265.6
37.80736179,-122.4152473,19.7,3959.7
37.8073342,-122.4153469,15.3,3151.8
37.80733051,-122.4154865,15.4,3557.4
37.80731347,-122.4156215,19.4,3880
37.80726439,-122.4156499,18.7,4581.5
37.80722431,-122.4156313,15.5,3627
37.80715793,-122.4156127,17.2,3835.6
37.80708713,-122.4156093,17.8,4432.2
37.80702575,-122.4156018,16.9,3937.7
37.80694685,-122.4155865,17.8,3755.8
37.80688725,-122.4155818,15.6,3244.8
37.80681437,-122.4155577,18.1,3891.5
37.80675019,-122.4155634,19,3914
37.80669435,-122.4155366,16.6,3652
37.80665271,-122.4155158,19.7,4491.6
37.8065712,-122.4154992,18.4,3882.4
37.80648308,-122.4155063,16.7,3540.4
37.80640931,-122.4155116,19.3,4458.3
37.80636487,-122.4155266,20,4180
37.80632697,-122.4156048,17.9,3723.2
37.80630576,-122.4157423,18.3,4556.7
37.80629346,-122.4158526,17.1,3676.5
37.80628129,-122.415955,16.9,4157.4
37.80626888,-122.4160408,18.9,4365.9
37.80625495,-122.4161381,17.1,3488.4
37.8062516,-122.4162297,17.9,3955.9
37.80624516,-122.4163523,17.1,4121.1
37.80624215,-122.4164777,16.6,3436.2
37.80622897,-122.4166096,17.7,4230.3
37.8062093,-122.4167235,18.4,4250.4
37.80619524,-122.4168301,15.8,3412.8
37.80617808,-122.4169709,16.2,4017.6
37.80616381,-122.4170383,19.5,4485
37.80618227,-122.417096,20,4320
37.80623418,-122.4171194,16.1,3654.7
37.80630643,-122.4171314,15.2,3237.6
37.80640289,-122.4171467,19.9,4596.9
37.80647291,-122.4171656,18,3924
37.80654253,-122.4171673,15.5,3673.5
37.8065488,-122.4172517,15.8,3839.4
37.80657322,-122.4173779,17.4,4036.8
37.80660761,-122.4174709,15.5,3844
37.80663275,-122.41754,18.6,4054.8
37.8066618,-122.4176837,17,3876
37.8066802,-122.4177537,15.3,3366
37.80669593,-122.4178339,15.3,3121.2
37.80671753,-122.4179435,15.5,3115.5
37.80672957,-122.4179759,19.9,4855.6
37.80674224,-122.4180146,18.2,4386.2
37.80675529,-122.4180677,17.8,4094
37.8067745,-122.4181533,19.9,4437.7
37.80680088,-122.4182381,20,4320
37.80683478,-122.4183405,18.5,4403
37.80685555,-122.4184559,15.4,3696
37.80691934,-122.4185381,19.3,4226.7
37.80694035,-122.418496,17.9,3651.6
37.80693904,-122.418426,18,4248
37.80695018,-122.4183692,17.8,4325.4
37.80696243,-122.4183037,19.1,4641.3
37.80696685,-122.4182474,15.8,3618.2
37.80697136,-122.4181921,17,4199
37.80697496,-122.4181319,19.1,4622.2
37.80698439,-122.4180931,17.7,4407.3
37.80700837,-122.4180081,17.1,4086.9
37.80700922,-122.4179189,16.7,3707.4
37.80702141,-122.4178352,18.7,3777.4
37.80702968,-122.417722,18.7,4132.7
37.80703391,-122.4176642,17.9,3991.7
37.80703035,-122.4175948,19.6,4645.2
37.80703185,-122.417524,17.2,3956
37.80703568,-122.4174631,17.2,4024.8
37.80704131,-122.4173913,15.3,3748.5
37.80704977,-122.4173422,15.7,3532.5
37.80710113,-122.4173066,17.8,4414.4
37.80715956,-122.4173043,17.7,4124.1
37.80724375,-122.4173336,19.5,4056
37.80730299,-122.4173416,15.4,3603.6
37.80738191,-122.4173498,17.1,4206.6
37.80747171,-122.417382,17.5,3815
37.80759834,-122.417394,19.9,4039.7
37.80767165,-122.4174007,16.7,4074.8
37.80774065,-122.4174077,19.6,4135.6
37.80782762,-122.4174234,19.6,4370.8
37.80793294,-122.4174301,16.5,3828
37.80798574,-122.4174205,15.2,3222.4
37.80802411,-122.4173562,16.1,3654.7
37.80802362,-122.4173059,16.4,3968.8
37.8080245,-122.4172578,16.1,3847.9
37.80805171,-122.41715,18.1,4217.3
37.80804101,-122.4170415,16.2,3418.2
37.80804986,-122.4169734,16.4,3312.8
37.80805349,-122.4169445,17.8,4200.8
37.80805577,-122.4168941,16.2,3596.4
37.80810553,-122.4167838,18.6,3831.6
37.80811486,-122.4166618,17.2,3680.8
37.80812441,-122.4165666,16,3296
37.80812059,-122.4165066,15.2,3541.6
37.80812491,-122.4164371,17.3,4255.8
37.80812702,-122.4163614,17.8,3595.6
37.80817852,-122.4162263,18.7,4188.8
37.80818566,-122.4160983,17.3,4238.5
37.80818432,-122.4159826,15.7,3783.7
37.8081771,-122.4158972,15.2,3298.4
37.80814249,-122.4158711,15.9,3816
37.80808429,-122.4158519,18.5,3996
37.80802288,-122.4158318,17.4,3514.8
37.80796527,-122.4158286,16.5,3333
37.80791787,-122.4158208,17.5,3832.5
37.80783167,-122.4158152,16.4,3903.2
37.80778834,-122.4158024,18.5,4033
37.8077096,-122.4157734,16.6,3735
37.80759094,-122.4157508,17.7,3646.2
37.80750907,-122.41573,19.3,4747.8
37.80740845,-122.4156973,15.6,3572.4
37.80734462,-122.4156819,16.1,3300.5
37.8072644,-122.4156644,16.2,3758.4
37.80729343,-122.4156044,18.5,4199.5
37.80728129,-122.4155452,16.2,3969
37.8072822,-122.4154799,16.3,3455.6
37.80728153,-122.4154324,18.7,4282.3
37.80728456,-122.4153888,19.2,4032
37.80731328,-122.4153144,18.4,4471.2
37.80731396,-122.415248,18.8,3854
37.80730717,-122.4151901,16.8,4116
37.80728618,-122.4151815,15.7,3783.7
37.80723771,-122.4151833,16.6,3867.8
37.80720036,-122.4151746,18.5,4403
37.80719418,-122.4151244,19.2,4742.4
37.80719715,-122.4150826,19.5,4875
37.80719639,-122.4150439,15.4,3126.2
37.80719769,-122.4150098,16.3,3618.6
37.80719496,-122.4149709,19.4,4384.4
37.80719436,-122.4149265,18,3816
37.80719465,-122.4149168,19.8,4910.4
37.80719518,-122.4148474,16.8,3595.2
37.8071926,-122.4148151,16.8,4116
37.80717136,-122.4147856,15.5,3658
37.80713492,-122.4147812,18.7,4357.1
37.80707289,-122.4147794,15.5,3673.5
37.8070401,-122.4147686,16.8,3460.8
37.80701298,-122.4147636,15.2,3055.2
37.80698339,-122.4147649,19.4,4694.8
37.80696531,-122.4147685,15.4,3696
37.80692865,-122.4148174,15.5,3100
37.8069114,-122.4148493,18.4,4158.4
37.80689769,-122.414873,18.1,3638.1
37.80686755,-122.4148981,16.4,4034.4
37.80682669,-122.4149082,18.7,4263.6
37.8067764,-122.4149158,19.1,3896.4
37.80672959,-122.4149095,18,4230
37.80669661,-122.4149072,15.8,3476
37.80666759,-122.4149034,18.8,3816.4
37.80662563,-122.4148943,15.8,3681.4
37.80660051,-122.4148889,16.4,3329.2
37.80657344,-122.4148819,15.7,3516.8
37.80653586,-122.414873,16.2,3855.6
37.80648655,-122.4148682,19.8,3960
37.8064547,-122.4147993,19.6,4566.8
37.80645431,-122.4147749,17.1,3659.4
37.80645635,-122.414754,16.8,4149.6
37.80645519,-122.4147149,17.1,4257.9
37.80646794,-122.4146492,17.2,4196.8
37.80646909,-122.414573,16.9,3532.1
37.80647237,-122.4145335,19.5,4153.5
37.80648706,-122.4144589,18.3,4282.2
37.80649082,-122.4143996,15.6,3307.2
37.80649357,-122.4143649,18.7,4301
37.80650543,-122.4143031,18.1,4380.2
37.8065097,-122.4142692,15.4,3542
37.80651107,-122.4142281,15,3735
37.80652586,-122.4141545,18.1,3982
37.8065335,-122.4140623,17.7,4035.6
37.80653516,-122.413984,20,4320
37.80654297,-122.4138711,19.1,3858.2
37.80655481,-122.413816,16.6,4000.6
37.80655975,-122.4138025,16.5,4108.5
37.80656005,-122.4137986,18,4230
37.80656576,-122.4137918,16.7,3724.1
37.80662734,-122.4138126,15.9,3211.8
37.80668574,-122.413819,16.1,3574.2
37.80676434,-122.413846,16.8,3847.2
37.80687684,-122.4138663,18.3,4465.2
37.80693407,-122.4138731,18.8,3948
37.80704736,-122.4139024,16.9,4225
37.80710179,-122.4139097,18,3978
37.80717512,-122.4139188,16.2,3726
37.80723232,-122.4139207,17.8,4361
37.80729004,-122.4139283,16.6,3784.8
37.80735869,-122.4139348,16.1,3751.3
37.80739849,-122.4139552,16.3,3520.8
37.80744313,-122.4139627,17.1,4189.5
37.8074675,-122.4140019,17.7,3734.7
37.80746476,-122.4140823,19.3,4226.7
37.80745563,-122.4141174,15.6,3369.6
37.80745492,-122.4141794,18.8,4530.8
37.80745519,-122.4142319,15.8,3175.8
37.80745427,-122.4142965,19.5,4212
37.80744982,-122.4143978,18.6,3757.2
37.80744327,-122.4144846,15.1,3654.2
37.80743927,-122.4145813,17.7,3858.6
37.80743177,-122.414688,16.1,3686.9
37.80741582,-122.4147105,17,3723
37.80739777,-122.4147857,19.2,4531.2
37.80739012,-122.414906,17.8,3969.4
37.80738013,-122.4149804,19.8,4237.2
37.80737657,-122.4151209,19.8,4593.6
37.80736179,-122.4152473,15.6,3166.8
37.8073342,-122.4153469,15.3,3304.8
37.80733051,-122.4154865,15.4,3434.2
37.80731347,-122.4156215,18.7,4394.5
37.80726439,-122.4156499,15.3,3136.5
37.80722431,-122.4156313,16.8,4032
37.80715793,-122.4156127,17.2,4162.4
37.80708713,-122.4156093,18.2,3803.8
37.80702575,-122.4156018,18,3690
37.80694685,-122.4155865,16.9,3887
37.80688725,-122.4155818,17.3,3875.2
37.80681437,-122.4155577,18.8,4211.2
37.80675019,-122.4155634,18.6,4017.6
37.80669435,-122.4155366,15.8,3634
37.80665271,-122.4155158,17.5,4217.5
37.8065712,-122.4154992,17,3621
37.80648308,-122.4155063,17,3502
37.80640931,-122.4155116,15.9,3402.6
37.80636487,-122.4155266,19.9,4218.8
37.80632697,-122.4156048,15.9,3816
37.80630576,-122.4157423,17.5,4077.5
37.80629346,-122.4158526,19.8,4257
37.80628129,-122.415955,17.8,4289.8
37.80626888,-122.4160408,17.7,3663.9
37.80625495,-122.4161381,18.1,4072.5
37.8062516,-122.4162297,17.3,3650.3
37.80624516,-122.4163523,15.2,3541.6
37.80624215,-122.4164777,17.2,4231.2
37.80622897,-122.4166096,19.3,3898.6
37.8062093,-122.4167235,16.3,3406.7
37.80619524,-122.4168301,17,3825
37.80617808,-122.4169709,15,3240
37.80616381,-122.4170383,19.4,4112.8
37.80618227,-122.417096,15.6,3572.4
37.80623418,-122.4171194,19.4,4365
37.80630643,-122.4171314,15.9,3720.6
37.80640289,-122.4171467,19.9,3999.9
37.80647291,-122.4171656,17.5,4305
37.80654253,-122.4171673,18.5,4403
37.8065488,-122.4172517,18.7,3945.7
37.80657322,-122.4173779,15.1,3473
37.80660761,-122.4174709,19.6,3920
37.80663275,-122.41754,16.5,3580.5
37.8066618,-122.4176837,17.7,3699.3
37.8066802,-122.4177537,15.6,3213.6
37.80669593,-122.4178339,19.6,4449.2
37.80671753,-122.4179435,19.1,4507.6
37.80672957,-122.4179759,17.8,4058.4
37.80674224,-122.4180146,17.7,3805.5
37.80675529,-122.4180677,18.5,4236.5
37.8067745,-122.4181533,15.8,3428.6
37.80680088,-122.4182381,19.4,4132.2
37.80683478,-122.4183405,15.2,3572
37.80685555,-122.4184559,18.3,3678.3
37.80691934,-122.4185381,15.8,3776.2
37.80694035,-122.418496,16.8,3796.8
37.80693904,-122.418426,16.5,3514.5
37.80695018,-122.4183692,18.2,3876.6
37.80696243,-122.4183037,17,3808
37.80696685,-122.4182474,18.8,4230
37.80697136,-122.4181921,18.1,3837.2
37.80697496,-122.4181319,17.4,3967.2
37.80698439,-122.4180931,19.6,4704
37.80700837,-122.4180081,17.6,3784
37.80700922,-122.4179189,18.9,4252.5
37.80702141,-122.4178352,15.3,3197.7
37.80702968,-122.417722,19.2,4627.2
37.80703391,-122.4176642,17.2,3938.8
37.80703035,-122.4175948,19.2,4051.2
37.80703185,-122.417524,17.9,4439.2
37.80703568,-122.4174631,18.1,4325.9
37.80704131,-122.4173913,15.3,3717.9
37.80704977,-122.4173422,16.1,3880.1
37.80710113,-122.4173066,19.8,4930.2
37.80715956,-122.4173043,15.9,3323.1
37.80724375,-122.4173336,18.3,4007.7
37.80730299,-122.4173416,19.3,4477.6
37.80738191,-122.4173498,15,3255
37.80747171,-122.417382,19.5,4329
37.80759834,-122.417394,16.4,4050.8
37.80767165,-122.4174007,18.3,4227.3
37.80774065,-122.4174077,17.4,3932.4
37.80782762,-122.4174234,18.3,3769.8
37.80793294,-122.4174301,19,4256
37.80798574,-122.4174205,18.4,4600
37.80802411,-122.4173562,16,3568
37.80802362,-122.4173059,17.5,3797.5
37.8080245,-122.4172578,19.2,4492.8
37.80805171,-122.41715,17.5,4357.5
37.80804101,-122.4170415,17.5,4025
37.80804986,-122.4169734,19.6,4900
37.80805349,-122.4169445,18.7,4188.8
37.80805577,-122.4168941,15.6,3354
37.80810553,-122.4167838,18.3,3788.1
37.80811486,-122.4166618,17.4,4141.2
37.80812441,-122.4165666,15.4,3788.4
37.80812059,-122.4165066,16.5,4125
37.80812491,-122.4164371,15.4,3495.8
37.80812702,-122.4163614,19.2,4550.4
37.80817852,-122.4162263,18.9,3931.2
37.80818566,-122.4160983,15.8,3586.6
37.80818432,-122.4159826,18.4,4029.6
37.8081771,-122.4158972,20,4760
37.80814249,-122.4158711,15.9,3307.2
37.80808429,-122.4158519,18.6,4333.8
37.80802288,-122.4158318,19.4,3938.2
37.80796527,-122.4158286,16.1,3896.2
37.80791787,-122.4158208,16,3648
37.80783167,-122.4158152,18,3708
37.80778834,-122.4158024,17.8,4325.4
37.8077096,-122.4157734,18.1,4199.2
37.80759094,-122.4157508,18.3,4190.7
37.80750907,-122.41573,17,3723
37.80740845,-122.4156973,19.9,4696.4
37.80734462,-122.4156819,17.7,3787.8
37.8072644,-122.4156644,16.8,4099.2
37.80729343,-122.4156044,16.1,3654.7
37.80728129,-122.4155452,15.4,3803.8
37.8072822,-122.4154799,17.4,4228.2
37.80728153,-122.4154324,16.4,3509.6
37.80728456,-122.4153888,16.3,3586
37.80731328,-122.4153144,16,3808
37.80731396,-122.415248,19.3,4014.4
37.80730717,-122.4151901,16.7,4175
37.80728618,-122.4151815,16.2,3969
37.80723771,-122.4151833,18.4,4176.8
37.80720036,-122.4151746,19.1,4603.1
37.80719418,-122.4151244,18.7,4431.9
37.80719715,-122.4150826,19.9,4756.1
37.80719639,-122.4150439,15.7,3579.6
37.80719769,-122.4150098,18.2,4004
37.80719496,-122.4149709,18.8,4060.8
37.80719436,-122.4149265,17.2,4282.8
37.80719465,-122.4149168,19,4351
37.80719518,-122.4148474,19.4,4559
37.8071926,-122.4148151,19.8,4296.6
37.80717136,-122.4147856,16.4,3329.2
37.80713492,-122.4147812,18.7,4600.2
37.80707289,-122.4147794,18.1,3638.1
37.8070401,-122.4147686,16.8,3914.4
37.80701298,-122.4147636,15.8,3823.6
37.80698339,-122.4147649,18.4,4084.8
37.80696531,-122.4147685,16.4,3673.6
37.80692865,-122.4148174,16.6,3369.8
37.8069114,-122.4148493,19.1,4144.7
37.80689769,-122.414873,16.4,3526
37.80686755,-122.4148981,17.3,3823.3
37.80682669,-122.4149082,18.5,4421.5
37.8067764,-122.4149158,15.2,3404.8
37.80672959,-122.4149095,15.1,3684.4
37.80669661,-122.4149072,15.4,3449.6
37.80666759,-122.4149034,15.9,3577.5
37.80662563,-122.4148943,15.2,3404.8
37.80660051,-122.4148889,19.3,4593.4
37.80657344,-122.4148819,17.1,4052.7
37.80653586,-122.414873,18.9,4479.3
37.80648655,-122.4148682,18.8,3797.6
37.8064547,-122.4147993,16,3200
37.80645431,-122.4147749,18.6,3813
37.80645635,-122.414754,17.5,3937.5
37.80645519,-122.4147149,15.5,3580.5
37.80646794,-122.4146492,18.2,4495.4
37.80646909,-122.414573,16.2,3272.4
37.80647237,-122.4145335,17.8,3951.6
37.80648706,-122.4144589,17.2,3990.4
37.80649082,-122.4143996,16.5,3679.5
37.80649357,-122.4143649,16.2,3612.6
37.80650543,-122.4143031,18.7,4188.8
37.8065097,-122.4142692,16.8,3360
37.80651107,-122.4142281,19.4,4850
37.80652586,-122.4141545,16.2,3645
37.8065335,-122.4140623,15.2,3085.6
37.80653516,-122.413984,18.8,4286.4
37.80654297,-122.4138711,18.7,4301
37.80655481,-122.413816,19.2,4742.4
37.80655975,-122.4138025,16.5,4009.5
37.80656005,-122.4137986,19.9,4736.2
37.80656576,-122.4137918,19.4,4617.2
37.80662734,-122.4138126,15.1,3488.1
37.80668574,-122.413819,19.9,4935.2
37.80676434,-122.413846,20,4760
37.80687684,-122.4138663,16.8,3376.8
37.80693407,-122.4138731,15.6,3572.4
37.80704736,-122.4139024,18.6,4296.6
37.80710179,-122.4139097,19.5,4407
37.80717512,-122.4139188,15.4,3249.4
37.80723232,-122.4139207,19,4085
37.80729004,-122.4139283,20,4700
37.80735869,-122.4139348,18.4,4342.4
37.80739849,-122.4139552,18.2,4095
37.80744313,-122.4139627,15.4,3788.4
37.8074675,-122.4140019,18,3888
37.80746476,-122.4140823,19.6,4762.8
37.80745563,-122.4141174,19.6,4272.8
37.80745492,-122.4141794,17.2,3973.2
37.80745519,-122.4142319,15,3465
37.80745427,-122.4142965,19.6,4508
37.80744982,-122.4143978,18.7,3740
37.80744327,-122.4144846,19.5,4153.5
37.80743927,-122.4145813,17.7,4141.8
37.80743177,-122.414688,18.8,3985.6
37.80741582,-122.4147105,15.6,3432
37.80739777,-122.4147857,16.8,3662.4
37.80739012,-122.414906,17.1,3573.9
37.80738013,-122.4149804,17.5,3815
37.80737657,-122.4151209,17.7,4425
37.80736179,-122.4152473,17.5,4200
37.8073342,-122.4153469,18.5,4292
37.80733051,-122.4154865,17.6,4241.6
37.80731347,-122.4156215,15.9,3784.2
37.80726439,-122.4156499,15,3045
37.80722431,-122.4156313,16.5,4125
37.80715793,-122.4156127,18.3,4337.1
37.80708713,-122.4156093,17,3400
37.80702575,-122.4156018,15,3270
37.80694685,-122.4155865,15,3270
37.80688725,-122.4155818,16.6,3486
37.80681437,-122.4155577,18.9,4630.5
37.80675019,-122.4155634,15.3,3258.9
37.80669435,-122.4155366,18.7,4282.3
37.80665271,-122.4155158,15.8,3223.2
37.8065712,-122.4154992,18.9,3969
37.80648308,-122.4155063,16.9,4039.1
37.80640931,-122.4155116,19.7,4196.1
37.80636487,-122.4155266,18.3,4410.3
37.80632697,-122.4156048,18.6,4315.2
37.80630576,-122.4157423,16.7,4124.9
37.80629346,-122.4158526,18.4,4508
37.80628129,-122.415955,15.8,3839.4
37.80626888,-122.4160408,18.4,3919.2
37.80625495,-122.4161381,15.5,3410
37.8062516,-122.4162297,17,4080
37.80624516,-122.4163523,19.1,4584
37.80624215,-122.4164777,16.1,3783.5
37.80622897,-122.4166096,17.4,3845.4
37.8062093,-122.4167235,17.5,4025
37.80619524,-122.4168301,15.7,3909.3
37.80617808,-122.4169709,15.4,3141.6
37.80616381,-122.4170383,17.6,3819.2
37.80618227,-122.417096,16.5,3448.5
37.80623418,-122.4171194,18.6,4278
37.80630643,-122.4171314,17,4182
37.80640289,-122.4171467,16.3,3651.2
37.80647291,-122.4171656,16.8,4099.2
37.80654253,-122.4171673,18.3,4446.9
37.8065488,-122.4172517,15.5,3518.5
37.80657322,-122.4173779,18.9,4536
37.80660761,-122.4174709,18.8,3966.8
37.80663275,-122.41754,20,4600
37.8066618,-122.4176837,17.4,3775.8
37.8066802,-122.4177537,17.7,4000.2
37.80669593,-122.4178339,17.7,4283.4
37.80671753,-122.4179435,15.9,3243.6
37.80672957,-122.4179759,15.2,3617.6
37.80674224,-122.4180146,19.8,4375.8
37.80675529,-122.4180677,17.9,3955.9
37.8067745,-122.4181533,19.7,4196.1
37.80680088,-122.4182381,19.9,4875.5
37.80683478,-122.4183405,18.8,3760
37.80685555,-122.4184559,15.2,3693.6
37.80691934,-122.4185381,19.9,4716.3
37.80694035,-122.418496,17.1,3693.6
37.80693904,-122.418426,17.8,3666.8
37.80695018,-122.4183692,19.3,4130.2
37.80696243,-122.4183037,15.2,3420
37.80696685,-122.4182474,16.4,3772
37.80697136,-122.4181921,16.2,3434.4
37.80697496,-122.4181319,18.7,4132.7
37.80698439,-122.4180931,19.1,4622.2
37.80700837,-122.4180081,17.1,4223.7
37.80700922,-122.4179189,15.2,3465.6
37.80702141,-122.4178352,18.8,3760
37.80702968,-122.417722,16.9,3532.1
37.80703391,-122.4176642,19,4180
37.80703035,-122.4175948,17.7,3540
37.80703185,-122.417524,16.8,3595.2
37.80703568,-122.4174631,17.8,4218.6
37.80704131,-122.4173913,19.5,4231.5
37.80704977,-122.4173422,19.4,4772.4
37.80710113,-122.4173066,16.2,3499.2
37.80715956,-122.4173043,17.3,3961.7
37.80724375,-122.4173336,17.9,3938
37.80730299,-122.4173416,20,4240
37.80738191,-122.4173498,19.8,4613.4
37.80747171,-122.417382,15.7,3485.4
37.80759834,-122.417394,19.8,4237.2
37.80767165,-122.4174007,17.5,4060
37.80774065,-122.4174077,19.6,4370.8
37.80782762,-122.4174234,15,3150
37.80793294,-122.4174301,16,3408
37.80798574,-122.4174205,16.2,3758.4
37.80802411,-122.4173562,19.3,4400.4
37.80802362,-122.4173059,17.9,4349.7
37.8080245,-122.4172578,17.7,3823.2
37.80805171,-122.41715,17.5,4270
37.80804101,-122.4170415,18.7,4132.7
37.80804986,-122.4169734,19.9,4955.1
37.80805349,-122.4169445,15,3255
37.80805577,-122.4168941,15.6,3213.6
37.80810553,-122.4167838,19.6,4645.2
37.80811486,-122.4166618,16.4,3575.2
37.80812441,-122.4165666,16.8,4032
37.80812059,-122.4165066,18.6,4501.2
37.80812491,-122.4164371,18.3,4300.5
37.80812702,-122.4163614,19.9,4457.6
37.80817852,-122.4162263,15.5,3301.5
37.80818566,-122.4160983,15.3,3656.7
37.80818432,-122.4159826,15.2,3055.2
37.8081771,-122.4158972,18.2,4459
37.80814249,-122.4158711,15.1,3186.1
37.80808429,-122.4158519,18.5,3848
37.80802288,-122.4158318,15,3675
37.80796527,-122.4158286,19,4598
37.80791787,-122.4158208,15.2,3526.4
37.80783167,-122.4158152,19.8,4752
37.80778834,-122.4158024,18.1,4108.7
37.8077096,-122.4157734,18.7,4375.8
37.80759094,-122.4157508,16,3664
37.80750907,-122.41573,18.1,4090.6
37.80740845,-122.4156973,17.5,4042.5
37.80734462,-122.4156819,17,3638
37.8072644,-122.4156644,16.3,3537.1
37.80729343,-122.4156044,17.3,4117.4
37.80728129,-122.4155452,18.7,4020.5
37.8072822,-122.4154799,17.8,4200.8
37.80728153,-122.4154324,15.5,3394.5
37.80728456,-122.4153888,17,4148
37.80731328,-122.4153144,19.5,4095
37.80731396,-122.415248,15.7,3406.9
37.80730717,-122.4151901,15.5,3751
37.80728618,-122.4151815,16.4,3936
37.80723771,-122.4151833,17.9,3776.9
37.80720036,-122.4151746,20,5000
37.80719418,-122.4151244,16.5,4042.5
37.80719715,-122.4150826,15,3570
37.80719639,-122.4150439,15.1,3261.6
37.80719769,-122.4150098,16,3728
37.80719496,-122.4149709,16.9,4123.6
37.80719436,-122.4149265,18.9,3817.8
37.80719465,-122.4149168,19.7,4334
37.80719518,-122.4148474,17.1,4155.3
37.8071926,-122.4148151,17.9,3794.8
37.80717136,-122.4147856,18.4,4048
37.80713492,-122.4147812,18.3,4080.9
37.80707289,-122.4147794,18.4,4434.4
37.8070401,-122.4147686,17.9,4439.2
37.80701298,-122.4147636,18.4,4287.2
37.80698339,-122.4147649,15.8,3823.6
37.80696531,-122.4147685,18.8,4662.4
37.80692865,-122.4148174,18.1,3873.4
37.8069114,-122.4148493,17.9,3902.2
37.80689769,-122.414873,16.1,3896.2
37.80686755,-122.4148981,18.9,4365.9
37.80682669,-122.4149082,18.7,4207.5
37.8067764,-122.4149158,18.6,4129.2
37.80672959,-122.4149095,17.6,3784
37.80669661,-122.4149072,19.7,3979.4
37.80666759,-122.4149034,19.4,4656
37.80662563,-122.4148943,15,3360
37.80660051,-122.4148889,19.9,4915.3
37.80657344,-122.4148819,15,3375
37.80653586,-122.414873,19.1,4144.7
37.80648655,-122.4148682,19.1,4431.2
37.8064547,-122.4147993,19.3,4593.4
37.8064547,-122.4147993,18.6,4259.4
